,movieid,imdb_id,movie_name,avg_rating,total_ratings
0,171011,5491994,Planet Earth II (2016),4.4831,1124
1,159817,0795176,Planet Earth (2006),4.4648,1747
2,318,0111161,Shawshank Redemption The (1994),4.41358,81482
3,170705,0185906,Band of Brothers (2001),4.3986,1356
4,171495,0081846,Cosmos,4.32671,277
5,858,0068646,Godfather The (1972),4.32434,52498
6,179135,6769208,Blue Planet II (2017),4.28983,659
7,50,0114814,Usual Suspects The (1995),4.28435,55366
8,198185,0278784,Twin Peaks (1989),4.26736,288
9,1221,0071562,Godfather: Part II The (1974),4.26176,34188
